Table,,,,,,,,
"Crime Severity Index values for 325 police services1,2 policing communities over 10,000 population3, 2020",,,,,,,,
,,,,,,,,
Respondent Code,Police Service,Population,Overall Crime Severity Index,,Violent Crime Severity Index,,Non-violent Crime Severity Index,
,,,value,rank,value,rank,value,rank
00000,Canada," 38,005,238 ",73.44,…,87.03,…,68.38,…
46774,"Thompson, Man., RCMP, Municipal"," 13,712 ",454.03,1,710.24,1,360.8,2
47721,"North Battleford, Sask., RCMP, Municipal"," 14,420 ",421.52,2,540.98,2,377.56,1
48890,"Wetaskiwin, Alta., RCMP, Municipal"," 12,996 ",332.8,3,407.73,3,305.06,3
61774,"Yellowknife, N.W.T., RCMP, Rural"," 22,535 ",266.53,4,299.12,7,254.18,5
59927,"Williams Lake, B.C., RCMP, Municipal"," 11,559 ",251.44,5,196.71,14,270.53,4
59837,"Quesnel, B.C., RCMP, Municipal"," 10,356 ",250.01,6,249.47,10,249.62,6
47055,"Prince Albert, Sask., Municipal"," 38,006 ",249.28,7,375.26,5,203.38,10
46801,"Portage la Prairie, Man., RCMP, Municipal"," 14,248 ",232.79,8,289.65,8,211.79,9
48884,"Rocky Mountain House, Alta., RCMP, Rural"," 13,794 ",231.54,9,384.53,4,175.97,13
59710,"Prince George, B.C., RCMP, Municipal"," 82,290 ",222.91,10,206.13,12,228.41,7
48007,"Lloydminster, Alta., RCMP, Municipal"," 33,299 ",201.67,11,151.98,26,219.07,8
59930,"Langley City, B.C., RCMP, Municipal"," 27,774 ",195.17,12,185.39,15,198.23,12
59854,"Prince Rupert, B.C., RCMP, Municipal"," 13,036 ",188.06,13,288.9,9,151.34,23
59737,"Penticton, B.C., RCMP, Municipal"," 36,597 ",180.19,14,121.81,47,200.76,11
60709,"Whitehorse, Y.T., RCMP, Rural"," 35,059 ",177.32,15,202.35,13,167.9,19
48797,"Cold Lake, Alta., RCMP, Municipal"," 16,312 ",170.65,16,161.48,22,173.54,14
59025,"Victoria, B.C., Municipal"," 94,415 ",168.14,17,155.12,25,172.43,16
48882,"Red Deer, Alta., RCMP, Municipal"," 106,736 ",165.64,18,144.41,31,172.88,15
48846,"Grande Prairie, Alta., RCMP, Municipal"," 69,355 ",164.94,19,145.62,29,171.51,17
48054,"Lethbridge, Alta., Municipal"," 101,324 ",157.05,20,122,46,169.29,18
48789,"Whitecourt, Alta., RCMP, Municipal"," 10,229 ",148.57,21,135.57,37,152.89,21
59822,"Dawson Creek, B.C., RCMP, Municipal"," 13,115 ",147.82,22,113.29,56,159.9,20
35289,"Timmins, Ont., Municipal"," 42,186 ",147.11,23,177.59,16,135.8,28
59780,"Vernon, B.C., RCMP, Municipal"," 44,171 ",146.64,24,132.03,41,151.55,22
59861,"Terrace, B.C., RCMP, Municipal"," 12,817 ",145.43,25,164.52,21,138.22,25
59838,"Fort St John, B.C., RCMP, Municipal"," 22,350 ",142.13,26,157.43,24,136.29,27
59908,"Port Alberni, B.C., RCMP, Municipal"," 19,060 ",141.35,27,145.05,30,139.69,24
59724,"Chilliwack, B.C., RCMP, Municipal"," 99,648 ",137.92,28,146.9,28,134.36,30
59765,"Kelowna, B.C., RCMP, Municipal"," 146,127 ",129.93,29,113.92,55,135.38,29
47931,"Yorkton, Sask., RCMP, Municipal"," 16,762 ",128.56,30,142.23,33,123.34,34
35150,"Kenora, Ont., OPP, Municipal"," 18,749 ",127.91,31,167.58,19,113.35,46
59895,"Courtenay, B.C., RCMP, Municipal"," 28,917 ",127.68,32,101.96,71,136.64,26
12009,"Colchester County, N.S., RCMP, Rural"," 38,072 ",126.97,33,306.44,6,62.11,143
46804,"Selkirk, Man., RCMP, Municipal"," 11,211 ",124.64,34,142.49,32,117.93,42
59891,"Campbell River, B.C., RCMP, Municipal"," 36,668 ",124.54,35,116.36,51,127.19,32
59763,"Kamloops, B.C., RCMP, Municipal"," 101,198 ",122.5,36,120.25,50,123.02,35
46064,"Winnipeg, Man., Municipal"," 766,894 ",121.94,37,165.04,20,106.15,56
35262,"Sault Ste. Marie, Ont., Municipal"," 76,952 ",118.96,38,115.53,53,119.91,38
47066,"Saskatoon, Sask., Municipal"," 280,174 ",118.33,39,137.53,34,111.15,50
48033,"Edmonton, Alta., Municipal"," 1,047,524 ",115.55,40,127.42,43,111,51
13709,"Codiac Regional, N.B., RCMP, Municipal"," 128,612 ",115.5,41,90.49,94,124.22,33
11007,"Summerside, P.E.I., Municipal"," 15,801 ",115.38,42,99.95,73,120.66,36
46005,"Brandon, Man., Municipal"," 53,734 ",114.32,43,121.4,49,111.5,49
