"","city","city_ascii","province_id","province_name","lat","lng","population","density","overall_csi_index","overall_csi_rank","violent_csi_index","violent_csi_rank","nonviolent_csi_index","nonviolent_csi_rank"
"1","Toronto","Toronto","ON","Ontario",43.7417,-79.3733,5429524,4334.4,57.84,168,90.41,95,45.99,196
"2","Montr�al","Montreal","QC","Quebec",45.5089,-73.5617,3519595,3889,67.29,135,92.11,90,58.2,157
"3","Vancouver","Vancouver","BC","British Columbia",49.25,-123.1,2264823,5492.6,104.67,58,99.81,74,106.18,55
"4","Calgary","Calgary","AB","Alberta",51.05,-114.0667,1239220,1501.1,79.96,101,78.26,118,80.38,95
"5","Edmonton","Edmonton","AB","Alberta",53.5344,-113.4903,1062643,1360.9,115.55,40,127.42,43,111,51
"6","Ottawa","Ottawa","ON","Ontario",45.4247,-75.695,989567,334,49.05,197,56.38,194,46.3,192
"7","Mississauga","Mississauga","ON","Ontario",43.6,-79.65,721599,2467.6,NA,NA,NA,NA,NA,NA
"8","Winnipeg","Winnipeg","MB","Manitoba",49.8844,-97.1464,705244,1430,121.94,37,165.04,20,106.15,56
"9","Qu�bec","Quebec City","QC","Quebec",46.8139,-71.2081,705103,1173.2,47.68,205,64.42,155,41.55,221
"10","Hamilton","Hamilton","ON","Ontario",43.2567,-79.8692,693645,480.6,66.03,140,93.53,83,55.98,166
"11","Brampton","Brampton","ON","Ontario",43.6833,-79.7667,593638,2228.7,36.99,261,51.89,220,31.54,275
"12","Surrey","Surrey","BC","British Columbia",49.19,-122.8489,517887,1636.8,95.66,70,92.64,87,96.52,66
"13","Kitchener","Kitchener","ON","Ontario",43.4186,-80.4728,470015,3433.5,74.5,113,84.77,103,70.63,114
"14","Laval","Laval","QC","Quebec",45.5833,-73.75,422993,1710.9,45.43,218,67.81,145,37.26,242
"15","Halifax","Halifax","NS","Nova Scotia",44.6475,-63.5906,403131,73.4,NA,NA,NA,NA,NA,NA
"16","London","London","ON","Ontario",42.9836,-81.2497,383822,913.1,80.99,94,75.55,122,82.76,89
"17","Victoria","Victoria","BC","British Columbia",48.4283,-123.3647,335696,4406.3,168.14,17,155.12,25,172.43,16
"18","Markham","Markham","ON","Ontario",43.8767,-79.2633,328966,1549.2,NA,NA,NA,NA,NA,NA
"19","St. Catharines","St. Catharines","ON","Ontario",43.1833,-79.2333,309319,1384.8,NA,NA,NA,NA,NA,NA
"20","Niagara Falls","Niagara Falls","ON","Ontario",43.06,-79.1067,308596,419.9,58.13,167,56.61,191,58.54,156
"21","Vaughan","Vaughan","ON","Ontario",43.8333,-79.5,306233,1119.4,NA,NA,NA,NA,NA,NA
"22","Gatineau","Gatineau","QC","Quebec",45.4833,-75.65,276245,773.7,54.86,179,76.25,119,47.04,188
"23","Windsor","Windsor","ON","Ontario",42.2833,-83,276165,1484.3,104.98,56,105.6,66,104.51,58
"24","Saskatoon","Saskatoon","SK","Saskatchewan",52.1333,-106.6833,246376,1080,118.33,39,137.53,34,111.15,50
"25","Longueuil","Longueuil","QC","Quebec",45.5333,-73.5167,239700,2002,47.39,208,59.26,180,43.01,212
"26","Burnaby","Burnaby","BC","British Columbia",49.2667,-122.9667,232755,2568.7,76.53,109,60.51,170,82.12,91
"27","Regina","Regina","SK","Saskatchewan",50.4547,-104.6067,215106,1195.2,110.41,47,135.65,36,101.07,60
